"date","id","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","observer","mean.pnt5to3","mean.gt3","mean.total"
2015-12-03,"1617C",299,77,347,37,15,0,15,0,5,0,"JL",11.6666666666667,0,11.6666666666667
2015-12-03,"1620A",250,87,577,42,5,15,5,15,5,25,"JL",5,18.3333333333333,23.3333333333333
2015-12-03,"1621A",212,78,67,25,0,0,0,0,0,0,"JL",0,0,0
2015-12-03,"1615B",307,91,374,41,5,0,5,0,15,25,"JL",8.33333333333333,8.33333333333333,16.6666666666667
2015-12-03,"1619A",165,61,662,23,5,5,5,0,5,0,"JL",5,1.66666666666667,6.66666666666667
2015-12-03,"1615A",293,97,394,52,15,0,0,0,5,0,"JL",6.66666666666667,0,6.66666666666667
2015-12-03,"1618A",182,71,675,36,0,0,0,0,0,0,"JL",0,0,0
2015-12-04,"1606A",288,102,401,51,5,75,15,75,5,85,"JL",8.33333333333333,78.3333333333333,86.6666666666667
2015-12-04,"1608C",270,73,300,28,5,0,5,0,5,0,"JL",5,0,5
2015-12-04,"1606C",280,100,304,50,25,75,5,95,35,65,"JL",21.6666666666667,78.3333333333333,100
2015-12-04,"1608B",255,72,320,40,5,0,5,0,5,5,"JL",5,1.66666666666667,6.66666666666667
2015-12-04,"1612A",305,100,346,50,35,65,15,75,15,25,"JL",21.6666666666667,55,76.6666666666667
2015-12-04,"1605B",312,99,430,40,5,95,25,85,15,85,"JL",15,88.3333333333333,103.333333333333
2015-12-04,"1613A",289,87,440,53,25,55,25,45,45,35,"JL",31.6666666666667,45,76.6666666666667
2015-12-04,"1616A",283,89,470,44,5,0,5,0,5,0,"JL",5,0,5
2015-12-04,"1607B",305,97,325,58,25,75,35,65,35,65,"JL",31.6666666666667,68.3333333333333,100
2015-12-04,"1604A",331,120,310,60,5,95,5,75,5,65,"JL",5,78.3333333333333,83.3333333333333
2015-12-04,"1608A",262,79,353,32,5,0,5,0,5,0,"JL",5,0,5
2015-12-04,"1616B",257,83,450,42,5,0,5,0,5,0,"JL",5,0,5
2015-12-04,"1606B",287,71,317,34,5,85,5,95,15,85,"JL",8.33333333333333,88.3333333333333,96.6666666666667
2015-12-04,"1604B",312,106,394,62,25,75,15,85,25,75,"JL",21.6666666666667,78.3333333333333,100
2015-12-04,"1603A",337,114,388,75,15,85,5,85,5,35,"JL",8.33333333333333,68.3333333333333,76.6666666666667
2015-12-04,"1605A",315,88,336,42,65,35,35,45,35,65,"JL",45,48.3333333333333,93.3333333333333
2015-12-04,"1612B",310,95,378,46,35,65,55,35,45,55,"JL",45,51.6666666666667,96.6666666666667
2015-12-04,"1607A",309,107,305,59,45,45,25,65,45,55,"JL",38.3333333333333,55,93.3333333333333
2015-12-04,"1613B",303,91,409,48,25,55,15,55,25,55,"JL",21.6666666666667,55,76.6666666666667
