"date","site.id","observer","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","x","y","notes","mean.clod.prnct"
2016-03-04 12:00:24,"1601B","ed",297,91,414,50,5,95,5,95,5,95,410981.6083,4020108.3886,NA,100
2016-03-04 12:21:38,"1602A","ed",333,102,458,52,5,55,5,45,5,65,410839.3442,4020582.9962,NA,60
2016-03-04 12:26:43,"1602B","ed",241,66,521,27,15,65,15,65,5,55,410902.9212,4020593.7699,NA,73.3333333333333
2016-03-04 12:58:05,"1603B","ed",312,104,309,44,15,65,15,35,15,35,411172.7661,4021304.3314,NA,60
2016-03-04 13:28:15,"1605A","ed",305,91,348,42,15,65,15,55,5,65,411712.2957,4020410.7743,NA,73.3333333333333
2016-03-04 13:34:25,"1605B","ed",310,97,434,31,5,85,0,95,5,85,411645.6086,4020403.1325,NA,91.6666666666667
2016-03-04 13:51:02,"1606A","ed",282,99,399,43,15,75,5,85,5,85,411968.1872,4020964.1916,NA,90
2016-03-04 13:56:09,"1606B","ed",290,84,338,41,15,75,5,95,15,85,412013.6592,4020960.4025,NA,96.6666666666667
2016-03-04 14:01:18,"1606C","ed",282,99,302,39,25,65,15,85,15,85,412065.9001,4020969.0808,NA,96.6666666666667
2016-03-04 14:14:01,"1604A","ed",330,117,312,48,5,75,5,85,25,45,411838.7811,4021153.0998,NA,80
2016-03-04 14:23:57,"1604B","ed",312,119,394,49,15,75,15,75,5,75,411787.1738,4021144.8602,NA,86.6666666666667
2016-03-04 14:32:03,"1607A","ed",305,107,315,51,35,55,25,75,25,55,411914.1653,4021328.3915,NA,90
2016-03-04 14:41:08,"1607B","ed",292,94,348,51,15,75,15,75,25,85,411943.449,4021330.535,NA,96.6666666666667
